"title","obis","records","totalrecords","fraction","taxa","org_title","org_country","installation_title","node_title"
"ARGOS Satellite Tracking of animals",,346511,346511,1.00,19,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Marine Conservation Society - Seasearch Marine Surveys",,326608,326746,1.00,1682,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Great Backyard Bird Count",,315764,7073027,0.04,167,"Avian Knowledge Network","US","Avian Knowledge Network","U.S. Geological Survey"
"HMAP-History pf Marine Animal Populations (CoML)",t,312340,312340,1.00,483,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"VIS - Fishes in inland waters in Flanders, Belgium",,308805,359262,0.86,49,"Research Institute for Nature and Forest (INBO)","BE","INBO IPT","Belgium Biodiversity Information Facility"
"SAFRING: Historical Bird Ringing Records (2005-2009)",,293033,1769995,0.17,169,"South African National Biodiversity Institute","ZA","South African National Biodiversity Institute - IPT","South African Biodiversity Information Facility"
"SEAPOP NINA",,283612,299586,0.95,59,"Norwegian Institute for Nature Research","NO","NINA Data Registry","GBIF Norway"
"Royal Netherlands Institute for Sea Research (NIOZ) - Kom Fyke Mokbaai",,273002,273002,1.00,106,"NIOZ Royal Netherlands Institute for Sea Research","NL","NIOZ IPT","Netherlands Biodiversity Information Facility"
"Watervogels - Wintering waterbirds in Flanders, Belgium",,271391,601462,0.45,101,"Research Institute for Nature and Forest (INBO)","BE","INBO IPT","Belgium Biodiversity Information Facility"
"Eremaea",,256515,2692286,0.10,201,"Eremaea","AU","ALA.org.au","Atlas of Living Australia"
"Biological Records Centre - Database for the Atlas of Freshwater Fishes",,254349,271263,0.94,50,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"European Seabirds at Sea (ESAS) bird sightings from 1980 to 2003.",,253471,253642,1.00,75,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"North Pacific Groundfish Observer (North Pacific Research Board)",t,221352,239767,0.92,241,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"United States Geological Survey Nonindigenous Aquatic Species Database",,198532,253177,0.78,282,"United States Geological Survey","US","USGS-NAS IPT","U.S. Geological Survey"
"First Bird Atlas",,196068,2637201,0.07,162,"Birds Australia","AU","ALA.org.au","Atlas of Living Australia"
"Queensland Museum provider for OZCAM",,191071,519955,0.37,18365,"Queensland Museum","AU","ALA.org.au","Atlas of Living Australia"
"Cryptogamy collection (PC) of the Muséum national d'Histoire Naturelle (MNHN - Paris)",,176265,326452,0.54,8039,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"Norwegian Biodiversity Information Centre - Other datasets",,165487,593371,0.28,1078,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Bernice P. Bishop Museum",,158484,606077,0.26,18805,"Bernice Pauahi Bishop Museum","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Joint Nature Conservation Committee - Marine benthic dataset (version 1) commissioned by UKOOA",,157902,157904,1.00,1318,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Australia's Virtual Herbarium",,146656,4603527,0.03,4420,"Council of Heads of Australasian Herbaria (CHAH)","AU","ALA.org.au","Atlas of Living Australia"
"SLU Aqua Institute of Coastal Research Database for Coastal Fish - KUL",,146382,146382,1.00,91,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada)",t,137298,137298,1.00,201,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"LACM Vertebrate Collection",,137134,512814,0.27,6077,"Natural History Museum of Los Angeles County","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Naturalis Biodiversity Center (NL) - Botany Leiden",,137134,2689577,0.05,6602,"Naturalis Biodiversity Center","NL","Naturalis Biodiversity Center IPT","Netherlands Biodiversity Information Facility"
"CAS Ichthyology (ICH)",,136062,167913,0.81,12645,"California Academy of Sciences","US","CAS-IPT","U.S. Geological Survey"
"Inventaire National du Patrimoine Naturel : Données ONEMA sur les poissons et écrevisses d'eau douce.",,135765,177239,0.77,49,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"UF FLMNH Ichthyology",,134398,208916,0.64,4941,"Florida Museum of Natural History","US","Florida Museum of Natural History IPT Service","U.S. Geological Survey"
"Neptune Deep-Sea Microfossil Occurrence Database",,131691,324473,0.41,684,"Museum für Naturkunde Berlin","DE","BioCASe Installation Museum für Naturkunde Berlin","GBIF Germany"
"Seabirds of the Southern and South Indian Ocean",,130105,130615,1.00,111,"Australian Antarctic Data Centre","AU","AADC IPT","Atlas of Living Australia"
"Museum Victoria provider for OZCAM",,130105,505423,0.26,11796,"Museum Victoria","AU","ALA.org.au","Atlas of Living Australia"
"University of British Columbia Herbarium (UBC) - Algae Collection",,129741,133698,0.97,3422,"University of British Columbia","CA","Canadensys repository","Canada Biodiversity Information Facility"
"Suffolk Biological Records Centre - Suffolk Biological Records Centre (SBRC) dataset",,123539,2068289,0.06,621,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Elephant Seal Sightings, Macquarie Island",,120000,120000,1.00,1,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Dutch Vegetation Database (LVD)",,119822,9388686,0.01,46,"Alterra, Wageningen UR","NL","HTTP Installation","Netherlands Biodiversity Information Facility"
"Rotherham Biological Records Centre - Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups",,119678,1406810,0.09,398,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"UWFC Ichthyology Collection",t,119541,129324,0.92,3001,"University of Washington Burke Museum","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Arctic Ocean Diversity",,118126,120626,0.98,1437,"Alaska Ocean Observing System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Pacific Ocean Shelf Tracking (OBIS Canada)",t,113941,113941,1.00,13,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"SA Fauna (BDBSA)",,113228,845394,0.13,173,"South Australia, Department of Environment and Natural Resources","AU","ALA.org.au","Atlas of Living Australia"
"Biologiezentrum Linz",,112023,1971075,0.06,2323,"Biologiezentrum Linz Oberoesterreich","AT","BioCASe Installation Biologiezentrum Linz Oberoesterreich","GBIF Austria"
"EPA'S EMAP Database",t,111597,113601,0.98,3239,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Centre for Environmental Data and Recording - Marine Data from Northern Ireland",,110697,110786,1.00,1578,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"British Phycological Society - Seaweed data for Great Britain and Ireland",,110480,110483,1.00,603,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Quadrige",,109775,110002,1.00,155,"IFREMER -  French Research Institute for Exploitation of the Sea","FR","IPT GBIF France","GBIF France"
"Invertebrates Collection of the Swedish Museum of Natural History",,107728,118492,0.91,7960,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"ANTAVIA-TrackingKing",,103455,103455,1.00,1,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey",,103277,103277,1.00,84,"Australian Antarctic Data Centre","AU","AADC IPT","Atlas of Living Australia"
"CSIRO Marine Data Warehouse (OBIS Australia)",t,103135,103140,1.00,1237,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Botanical Museum, Copenhagen, the Phycology Herbarium",,102811,104133,0.99,781,"Botanical Garden & Museum, Natural History Museum of Denmark","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"MAL",,101588,171413,0.59,16109,"Academy of Natural Sciences","US","Academy of Natural Sciences","U.S. Geological Survey"
"Countryside Council for Wales - Marine data from Countryside Council for Wales (CCW) Technical Support (Research & Monitoring) Contracts, Wales",,101583,101621,1.00,1883,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Northern Territory Museum and Art Gallery provider for OZCAM",,100722,159804,0.63,12339,"Museum and Art Gallery of the Northern Territory","AU","ALA.org.au","Atlas of Living Australia"
"Marine Biological Association - Marine survey data (Professional) held by <i>MarLIN</i>.",,96437,96440,1.00,1530,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"South African Institute for Aquatic Biodiversity - Fish Collection (AfrOBIS)",t,95066,95439,1.00,4211,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Inventaire National du Patrimoine Naturel : Poissons d'eau douce de France",,94819,120208,0.79,73,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"CAS Invertebrate Zoology (IZ)",,91995,97624,0.94,11062,"California Academy of Sciences","US","CAS-IPT","U.S. Geological Survey"
"NBI",t,89466,90052,0.99,2260,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1989) (AfrOBIS)",t,84940,85112,1.00,90,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"NINA Vanndata fisk",,84939,84986,1.00,39,"Norwegian Institute for Nature Research","NO","NINA Data Registry","GBIF Norway"
"Banco de Datos de la Biodiversidad de la Comunitat Valenciana",,83338,1310643,0.06,1969,"Biodiversity data bank of Generalitat Valenciana","ES","GBIF Spain IPT","GBIF Spain"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1990) (AfrOBIS)",t,82464,82568,1.00,94,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Atlantic Reference Centre (OBIS Canada)",t,82379,82746,1.00,2036,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Image Database of Fishes in the Kanagawa Prefectural Museum of Natural History",,82005,85383,0.96,3483,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"RBINS collections",,81957,333463,0.25,11148,"Royal Belgian Institute of Natural Sciences","BE","BioCASe Installation Royal Belgian Institute of Natural Sciences","Belgium Biodiversity Information Facility"
"Fishes collection (IC) of the Muséum national d'Histoire naturelle (MNHN - Paris)",,81717,114016,0.72,7987,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"Hawk Migration Association of North America - HawkCount",,80569,634258,0.13,3,"Avian Knowledge Network","US","Avian Knowledge Network","U.S. Geological Survey"
"ecoscope_observation_database",,79467,79467,1.00,204,"IRD - Institute of Research for Development","FR","IPT, IRD FRANCE","GBIF France"
"Southampton Oceanography Center Discovery Collections Midwater Database",t,79199,80095,0.99,1530,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1993) (AfrOBIS)",t,78906,79129,1.00,98,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Inventaire National du Patrimoine Naturel : Oiseaux hivernants de France",,78700,755318,0.10,96,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"Naturalis Biodiversity Center (NL) - Crustacea",,78436,90971,0.86,8053,"Naturalis Biodiversity Center","NL","Naturalis HTTP installation","Netherlands Biodiversity Information Facility"
"Conchological Society of Great Britain &amp; Ireland - Mollusc (marine) data for Great Britain and Ireland",,76713,76750,1.00,538,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1988) (AfrOBIS)",t,76311,76497,1.00,97,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Molluscs collection (IM) of the Muséum national d'Histoire naturelle (MNHN - Paris)",,75649,81385,0.93,8364,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"iNaturalist research-grade observations",,75546,588735,0.13,4416,"iNaturalist.org","US","HTTP Installation","U.S. Geological Survey"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1987) (AfrOBIS)",t,75411,75553,1.00,87,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Point Reyes Bird Observatory - Point Counts",,74517,900613,0.08,60,"Avian Knowledge Network","US","Avian Knowledge Network","U.S. Geological Survey"
"Museo Nacional de Ciencias Naturales, Madrid: MNCN_ICTIO",,73098,192785,0.38,1090,"Spanish National Museum of Natural Sciences (CSIC)","ES","TAPIR Installation","GBIF Spain"
"Historical Bird Atlas",,73061,730794,0.10,162,"Birds Australia","AU","ALA.org.au","Atlas of Living Australia"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1991) (AfrOBIS)",t,72950,73067,1.00,99,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Scottish Natural Heritage - Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by Scottish Natural Heritage",,71510,71608,1.00,1741,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1992) (AfrOBIS)",t,71329,71616,1.00,98,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1995) (AfrOBIS)",t,70467,70610,1.00,87,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Demersal Surveys (years 1991-1995) (AfrOBIS)",t,70141,70141,1.00,392,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"RSPB - Bird Conservation Targeting Project (BCTP) in the UK, archived data (2001-2008)",,69946,247955,0.28,3,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1992) (AfrOBIS)",t,69197,69383,1.00,90,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1996) (AfrOBIS)",t,67247,67373,1.00,96,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Invertebrate Zoology Division, Yale Peabody Museum",,66985,69870,0.96,11004,"Yale University Peabody Museum","US","Yale Peabody Museum IPT Service","U.S. Geological Survey"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1991) (AfrOBIS)",t,66461,66565,1.00,91,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1986) (AfrOBIS)",t,65712,65880,1.00,84,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"NatureServe Network Species Occurrence Data",,65559,916796,0.07,457,"NatureServe","US","NatureServe IPT","NatureServe"
"SLU Aqua  Institute of Freshwater Research Swedish Electrofishing Registry - SERS",,65223,67371,0.97,38,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Fauna Atlas N.T.",,65086,809470,0.08,139,"Department of Natural Resources, Environment, The Arts and Sport, Northern Territory of Australia","AU","ALA.org.au","Atlas of Living Australia"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1987) (AfrOBIS)",t,64710,64886,1.00,83,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1988) (AfrOBIS)",t,64268,64385,1.00,88,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1998) (AfrOBIS)",t,63776,63826,1.00,91,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1990) (AfrOBIS)",t,63667,63767,1.00,84,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"CCAMLR historic KRILL",,63364,63364,1.00,1,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Long-term decline in krill stock and increase in salps within the Southern Ocean (SCAR-MarBIN: Antarctic OBIS)",t,63364,63364,1.00,1,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1993) (AfrOBIS)",t,63316,63470,1.00,89,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Natural History Museum Rotterdam (NL) - Mollusca collection",,62960,68636,0.92,8924,"Natural History Museum Rotterdam","NL","NLBIF IPT","Netherlands Biodiversity Information Facility"
"Lund Museum of Zoology (MZLU)",,62878,145455,0.43,3816,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1989) (AfrOBIS)",t,61920,62027,1.00,83,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Atlantic and Gulf Rapid Reef Assessment -Benthic (OBIS Australia)",t,61822,61822,1.00,59,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Fish specimens",,61290,116643,0.53,4962,"Royal Ontario Museum","CA","Royal Ontario Museum","Canada Biodiversity Information Facility"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1986) (AfrOBIS)",t,60901,60967,1.00,76,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"The Fish Collection",,60495,64638,0.94,5337,"Zoological Museum, Natural History Museum of Denmark","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Bureau of Rural Sciences National commercial fisheries half-degree data set 2000-2002 (OBIS Australia)",t,59947,60164,1.00,377,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Ifremer BIOCEAN database (Deep Sea Benthic Fauna)",t,58834,58928,1.00,3582,"IFREMER -  French Research Institute for Exploitation of the Sea","FR","Ifremer","GBIF France"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1995) (AfrOBIS)",t,58579,58684,1.00,84,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1999) (AfrOBIS)",t,58435,58493,1.00,82,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1994) (AfrOBIS)",t,58370,58518,1.00,87,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1997) (AfrOBIS)",t,58188,58263,1.00,92,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"British Lichen Society - BLS Lichen Database: English churchyards",,57977,394718,0.15,57,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1994) (AfrOBIS)",t,57793,57970,1.00,105,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1998) (AfrOBIS)",t,55770,55830,1.00,84,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Demersal Surveys (years 1986-1990) (AfrOBIS)",t,55498,55498,1.00,301,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (First Semester of 2000) (AfrOBIS)",t,54068,54093,1.00,77,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Planktic foraminifera counts in surface sediment samples",,53445,54093,0.99,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"British Antarctic Survey Argos satellite tracking data",,53062,53062,1.00,12,"British Antarctic Survey","GB","British Antarctic Survey","National Biodiversity Network"
"PIROP (Shipboard Surveys)",,52980,53314,0.99,122,"EMAN Provider","CA","DiGIR Installation","Canada Biodiversity Information Facility"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1996) (AfrOBIS)",t,52586,52627,1.00,88,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Pelagic Fish Observations 1968-1999",,51282,51283,1.00,130,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Field Museum of Natural History (Zoology) Fish Collection",,51278,89584,0.57,7522,"Field Museum","US","Field Museum of Natural History IPT","U.S. Geological Survey"
"Ichthyology Collection - Royal Ontario Museum",,50541,80041,0.63,4910,"Royal Ontario Museum","CA","Vertebrate Collections of the Royal Ontario Museum","Canada Biodiversity Information Facility"
"Western Australian Museum provider for OZCAM",,50169,327715,0.15,4981,"Western Australian Museum","AU","ALA.org.au","Atlas of Living Australia"
"Seaweeds of Ireland",,49724,49724,1.00,517,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"Mollusca specimens of Toyama Science Museum",,49607,65498,0.76,2569,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1997) (AfrOBIS)",t,49432,49474,1.00,88,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"BioMar - LIFE project",,48888,48983,1.00,1146,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"observe_tuna_bycatch_ecoscope",,48393,48393,1.00,67,"IRD - Institute of Research for Development","FR","IPT, IRD FRANCE","GBIF France"
"Fish Collection of Hokkaido University",,48241,56366,0.86,2385,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Dinoflagelados y Diatomeas del Pacífico tropical mexicano",,47213,50775,0.93,971,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
